"","x","y"
"1000",4548,NA
"1001",0.238379750866443,NA
"1002",0.411679971730337,NA
"1003",0.746071676257998,NA
"1004",0.723450553836301,NA
"1005",0.614524137461558,NA
"1006",0.473980569280684,NA
"1007",0.578461039112881,NA
"1008",0.24159372295253,NA
"1009",0.114378662081435,NA
"1010",0.298344632610679,NA
"1011",0.484119494911283,NA
"1012",0.567406318150461,NA
"1013",0.75395310902968,NA
"1014",0.545425235992298,NA
"1015",0.759677961235866,NA
"1016",0.212967462604865,NA
"1017",0.839265023823828,NA
"1018",0.406697055324912,NA
"1019",0.873739800183102,NA
"1020",0.882156537845731,NA
"1021",0.107689367607236,NA
"1022",0.574544371105731,NA
"1023",0.996033379342407,NA
"1024",0.850553432479501,NA
"1025",0.437655055196956,NA
"1026",0.326429924694821,NA
"1027",0.33596885856241,NA
"1028",0.23927381564863,NA
"1029",0.42137112445198,NA
"1030",0.512136830715463,NA
"1031",0.185446366202086,NA
"1032",0.326400522142649,NA
"1033",0.817073642974719,NA
"1034",0.748737998073921,NA
"1035",0.531741869403049,NA
"1036",0.961571368388832,NA
"1037",0.104046371765435,NA
"1038",0.737123666564003,NA
"1039",0.847479980904609,NA
"1040",0.643738753627986,NA
"1041",0.232457197736949,NA
"1042",0.916229565627873,NA
"1043",0.424597555538639,NA
"1044",0.192943505709991,NA
"1045",0.701550335623324,NA
"1046",0.992580709746107,NA
"1047",0.708912507165223,NA
"1048",0.517485157353804,NA
"1049",0.708732047816738,NA
"1050",0.375140478601679,NA
"1051",0.254773765802383,NA
"1052",0.996412934735417,NA
"1053",0.522895360132679,NA
"1054",0.715809417888522,NA
"1055",0.00249242829158902,NA
"1056",0.292968772351742,NA
"1057",0.18081600125879,NA
"1058",0.407593891955912,NA
"1059",0.216995889088139,NA
"1060",0.0713426703587174,NA
"1061",0.253311580745503,NA
"1062",0.652479521231726,NA
"1063",0.734444106230512,NA
"1064",0.817513144109398,NA
"1065",0.30599033809267,NA
"1066",0.885247568367049,NA
"1067",0.606558852363378,NA
"1068",0.881019168300554,NA
"1069",0.679920632624999,NA
"1070",0.142943662358448,NA
"1071",0.76546558062546,NA
"1072",0.626966629410163,NA
"1073",0.730338460532948,NA
"1074",0.423704410903156,NA
"1075",0.268330775666982,NA
"1076",0.769048036308959,NA
"1077",0.587346678134054,NA
"1078",0.898567755473778,NA
"1079",0.870324538787827,NA
"1080",0.39930623723194,NA
"1081",0.965119112050161,NA
"1082",0.495991045143455,NA
"1083",0.466597515856847,NA
"1084",0.107744531240314,NA
"1085",0.91429804963991,NA
"1086",0.143803449813277,NA
"1087",0.265187191078439,NA
"1088",0.148463048506528,NA
"1089",0.414248683257028,NA
"1090",0.108949673594907,NA
"1091",0.247077947948128,NA
"1092",0.590643109753728,NA
"1093",0.328267297474667,NA
"1094",0.732970522018149,NA
"1095",0.727905224077404,NA
"1096",0.545723421266302,NA
"1097",0.733746317680925,NA
"1098",0.933358375681564,NA
"1099",0.243392595089972,NA
"1100",0.282959054922685,NA
"1101",0.216625959379598,NA
"1102",0.120041428366676,NA
"1103",0.170263659209013,NA
"1104",0.521528884768486,NA
"1105",0.963494028197601,NA
"1106",0.887872519437224,NA
"1107",0.636446596588939,NA
"1108",0.329380251467228,NA
"1109",0.602222412126139,NA
"1110",0.772161534056067,NA
"1111",0.2101352927275,NA
"1112",0.584308366058394,NA
"1113",0.542075810953975,NA
"1114",0.0923966427799314,NA
"1115",0.369340825127438,NA
"1116",0.952429423108697,NA
"1117",0.94968924135901,NA
"1118",0.449776821769774,NA
"1119",0.259818243561313,NA
"1120",0.0189061700366437,NA
"1121",0.721405047690496,NA
"1122",0.952809649286792,NA
"1123",0.440223303856328,NA
"1124",0.504012379329652,NA
"1125",0.0435569984838367,NA
"1126",0.922474455786869,NA
"1127",0.923789556138217,NA
"1128",0.60564771364443,NA
"1129",0.00408198102377355,NA
"1130",0.656856436515227,NA
"1131",0.150928949937224,NA
"1132",0.199160666903481,NA
"1133",0.239638329250738,NA
"1134",0.661573967430741,NA
"1135",0.241788821527734,NA
"1136",0.0715497385244817,NA
"1137",0.70467192796059,NA
"1138",0.315396910067648,NA
"1139",0.375875194789842,NA
"1140",0.815097741549835,NA
"1141",0.200559966498986,NA
"1142",0.301930186571553,NA
"1143",0.0877202423289418,NA
"1144",0.18332012812607,NA
"1145",0.20680187526159,NA
"1146",0.854959498858079,NA
"1147",0.262909896671772,NA
"1148",0.945334274321795,NA
"1149",0.792735469993204,NA
"1150",0.831581892445683,NA
"1151",0.618977224919945,NA
"1152",0.443733628606424,NA
"1153",0.964625613065436,NA
"1154",0.162198703736067,NA
"1155",0.185653790598735,NA
"1156",0.613101419527084,NA
"1157",0.481484478106722,NA
"1158",0.396137897623703,NA
"1159",0.318756407825276,NA
"1160",0.838375008897856,NA
"1161",0.299203525530174,NA
"1162",0.616061836015433,NA
"1163",0.462103835539892,NA
"1164",0.939205955946818,NA
"1165",0.00629138643853366,NA
"1166",0.34942748490721,NA
"1167",0.566271392628551,NA
"1168",0.528957063565031,NA
"1169",0.637015399290249,NA
"1170",0.350795879494399,NA
"1171",0.924171197460964,NA
"1172",0.474041222594678,NA
"1173",0.778134117368609,NA
"1174",0.798736535478383,NA
"1175",0.878499910235405,NA
"1176",0.909843855071813,NA
"1177",0.445537755964324,NA
"1178",0.289559328462929,NA
"1179",0.303310736315325,NA
"1180",0.919024348026142,NA
"1181",0.935712394770235,NA
"1182",0.671648326562718,NA
"1183",0.371269965777174,NA
"1184",0.567131436197087,NA
"1185",0.478598441928625,NA
"1186",0.56774878455326,NA
"1187",0.286538840038702,NA
"1188",0.759599128505215,NA
"1189",0.228465773165226,NA
"1190",0.426505393348634,NA
"1191",0.456584728090093,NA
"1192",0.709906758973375,NA
"1193",0.28745697857812,NA
"1194",0.773060262668878,NA
"1195",0.574562285561115,NA
"1196",0.0217957629356533,NA
"1197",0.773026480339468,NA
"1198",0.0591289335861802,NA
"1199",0.0276483006309718,NA
"1200",0.740846594097093,NA
"1201",0.593320846557617,NA
"1202",0.686676718527451,NA
"1203",0.735310225281864,NA
"1204",0.461105207214132,NA
"1205",0.661999277304858,NA
"1206",0.000957943499088287,NA
"1207",0.975965529680252,NA
"1208",0.220163456397131,NA
"1209",0.30632783845067,NA
"1210",0.731566637288779,NA
"1211",0.133506225654855,NA
"1212",0.0998360610101372,NA
"1213",0.171385153895244,NA
"1214",0.617181589826941,NA
"1215",0.683263308135793,NA
"1216",0.79057406890206,NA
"1217",0.213248126441613,NA
"1218",0.792010885663331,NA
"1219",0.592634408501908,NA
"1220",0.606263601919636,NA
"1221",0.110768544487655,NA
"1222",0.195608638459817,NA
"1223",0.00707077560946345,NA
"1224",0.940870595164597,NA
"1225",0.0682093512732536,NA
"1226",0.136929180473089,NA
"1227",0.332817024551332,NA
"1228",0.489688291680068,NA
"1229",0.172954540001228,NA
"1230",0.0649392416235059,NA
"1231",0.451666989829391,NA
"1232",0.379402353893965,NA
"1233",0.909298367565498,NA
"1234",0.0299464578274637,NA
"1235",0.194796363823116,NA
"1236",0.679479371290654,NA
"1237",0.747466302476823,NA
"1238",0.649537714431062,NA
"1239",0.0775806771125644,NA
"1240",0.599653656128794,NA
"1241",0.879010812146589,NA
"1242",0.732037156121805,NA
"1243",0.0800530861597508,NA
"1244",0.832749811932445,NA
"1245",0.864705697866157,NA
"1246",0.712964971549809,NA
"1247",0.757407110882923,NA
"1248",0.122433916199952,NA
"1249",0.193697881884873,NA
"1250",0.314178289379925,NA
"1251",0.137532982043922,NA
"1252",0.847802880220115,NA
"1253",0.485221986891702,NA
"1254",0.470242726383731,NA
"1255",0.791045374469832,NA
"1256",0.312983272830024,NA
"1257",0.308764512650669,NA
"1258",0.345155335962772,NA
"1259",0.828443314880133,NA
"1260",0.273995498428121,NA
"1261",0.430836085928604,NA
"1262",0.416897840099409,NA
"1263",0.134312199428678,NA
"1264",0.686341398628429,NA
"1265",0.17207811656408,NA
"1266",0.923493443522602,NA
"1267",0.613743592984974,NA
"1268",0.315629446646199,NA
"1269",0.809733090689406,NA
"1270",0.902374101104215,NA
"1271",0.125297799473628,NA
"1272",0.565557193476707,NA
"1273",0.127641106490046,NA
"1274",0.627597616286948,NA
"1275",0.0753239539917558,NA
"1276",0.285451323958114,NA
"1277",0.310602429090068,NA
"1278",0.146727561717853,NA
"1279",0.799770513316616,NA
"1280",0.171996079385281,NA
"1281",0.785683812340721,NA
"1282",0.470035764155909,NA
"1283",0.432957729091868,NA
"1284",0.574532859958708,NA
"1285",0.729969945270568,NA
"1286",0.894187148427591,NA
"1287",0.22030636924319,NA
"1288",0.291596438270062,NA
"1289",0.812898749252781,NA
"1290",0.0436023296788335,NA
"1291",0.505271664587781,NA
"1292",0.241655881749466,NA
"1293",0.589142418466508,NA
"1294",0.971140568610281,NA
"1295",0.232721003470942,NA
"1296",0.867418015375733,NA
"1297",0.110761742806062,NA
"1298",0.80149177997373,NA
"1299",0.657924454193562,NA
"1300",0.652054297272116,NA
"1301",0.226322644855827,NA
"1302",0.853979631327093,NA
"1303",0.435607039835304,NA
"1304",0.289281736826524,NA
"1305",0.637584670446813,NA
"1306",0.264539458556101,NA
"1307",0.386268377769738,NA
"1308",0.619193969992921,NA
"1309",0.541678082663566,NA
"1310",0.484831000445411,NA
"1311",0.764294919325039,NA
"1312",0.961026936769485,NA
"1313",0.270584533223882,NA
"1314",0.730600220849738,NA
"1315",0.134165546158329,NA
"1316",0.0483982276637107,NA
"1317",0.70360707025975,NA
"1318",0.147213794291019,NA
"1319",0.769155333051458,NA
"1320",0.176350109977648,NA
"1321",0.110758999362588,NA
"1322",0.938342408277094,NA
"1323",0.846471140161157,NA
"1324",0.571143581531942,NA
"1325",0.679093406302854,NA
"1326",0.0893222435843199,NA
"1327",0.785374125000089,NA
"1328",0.226957448059693,NA
"1329",0.448178465012461,NA
"1330",0.16122763720341,NA
"1331",0.176111689768732,NA
"1332",0.198228123597801,NA
"1333",0.357611313927919,NA
"1334",0.181333203800023,NA
"1335",0.561144859762862,NA
"1336",0.659083009697497,NA
"1337",0.660253409063444,NA
"1338",0.00240078754723072,NA
"1339",0.993446034146473,NA
"1340",0.62748923082836,NA
"1341",0.0146303358487785,NA
"1342",0.205178217496723,NA
"1343",0.663076664088294,NA
"1344",0.463744030334055,NA
